"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2025-12-10 12:11:38",5,#2L8GCJLPL,"UZI GANG",14,98.4,#2GJLGLURC,"Dark Souls UK",14,94.6,win
"2025-12-06 19:24:29",5,#2L8GCJLPL,"UZI GANG",15,100,#ULVR09YL,DiggerAhnma,3,20,win
"2025-12-01 18:32:05",5,#2L8GCJLPL,"UZI GANG",13,95,#JL2YU0V8,"طشرنه الوكت™√",13,90.4,win
"2025-11-29 18:30:29",10,#2L8GCJLPL,"UZI GANG",28,95.9,#222VLJQ90,"دمار كواكب",27,97,win
"2025-11-27 11:43:33",5,#2L8GCJLPL,"UZI GANG",15,100,#RPRUGCVQ,troya,12,82.8,win
"2025-11-25 12:14:10",5,#2L8GCJLPL,"UZI GANG",15,100,#2GV2G9VQ0,リーグ戦中も野良対戦,15,100,tie
"2025-11-23 11:18:41",10,#2L8GCJLPL,"UZI GANG",30,100,#YV0QY8V9,"Ygn king",30,100,tie
"2025-11-20 14:54:26",10,#2L8GCJLPL,"UZI GANG",29,97.8,#2RQP8PPQP,PlayHard☠️,30,100,lose
"2025-11-18 10:50:56",10,#2L8GCJLPL,"UZI GANG",30,100,#2QQ9RCUUJ,"Mavi beyaz",3,18.4,win
"2025-11-16 08:18:37",10,#2L8GCJLPL,"UZI GANG",30,100,#2GVVL9UV0,NagaHitam,24,81.9,win
"2025-11-14 08:11:04",10,#2L8GCJLPL,"UZI GANG",29,99.9,#R9Q8GG8,ALOHA,28,96.3,win
"2025-08-31 04:14:24",5,#2L8GCJLPL,"UZI GANG",15,100,#2GPJVUCCU,DWB,9,73.8,win
"2025-08-25 10:59:19",5,#2L8GCJLPL,"UZI GANG",0,0,#2RVJQQYGQ,INSANITY,15,100,lose
"2025-08-20 17:49:04",5,#2L8GCJLPL,"UZI GANG",15,100,#P9LUV082,"DARK VALAYS",14,96.6,win
"2025-08-18 06:10:32",5,#2L8GCJLPL,"UZI GANG",15,100,#2J9GUJ0QR,"Cancut Rehan",14,99.4,win
"2025-08-16 05:03:02",5,#2L8GCJLPL,"UZI GANG",15,100,#2PGUVPYYQ,SLAUSONAVE,9,58.2,win
"2025-08-14 05:19:01",5,#2L8GCJLPL,"UZI GANG",15,100,#2R8Q0PCJU,"Ù Centu",0,0,win
"2025-08-12 04:58:29",5,#2L8GCJLPL,"UZI GANG",14,94.4,#2L2UU2QJ2,"full send",14,99.8,lose
"2025-08-09 06:12:55",5,#2L8GCJLPL,"UZI GANG",14,99.6,#2J98JQQVP,"DULO BOYS",14,98.2,win
"2025-08-07 05:34:11",5,#2L8GCJLPL,"UZI GANG",15,100,#2YGPLJC0R,دوتلون,11,74.6,win
"2025-08-02 18:08:23",5,#2L8GCJLPL,"UZI GANG",14,90.8,#2JGVU2G8Y,"Persian Gulf",15,100,lose
"2025-07-31 15:52:39",5,#2L8GCJLPL,"UZI GANG",15,100,#2089CY20Y,"dragon warriors",14,92.6,win
"2025-07-29 06:43:04",5,#2L8GCJLPL,"UZI GANG",15,100,#2J90CR8UJ,"lush ice",12,84.4,win
"2025-07-27 07:12:29",5,#2L8GCJLPL,"UZI GANG",15,100,#2GRYULQ9Y,Chads,11,74.6,win
"2025-07-25 07:32:07",5,#2L8GCJLPL,"UZI GANG",14,98.8,#2Y99QC2LU,"Black Citadel",14,95,win
"2025-07-23 06:18:28",5,#2L8GCJLPL,"UZI GANG",15,100,#RQYR8C8G,Nemesis,14,92.8,win
"2025-07-21 04:22:18",5,#2L8GCJLPL,"UZI GANG",15,100,#2GRJY8JC8,"WAR WINNERS",14,99,win
"2025-07-18 19:52:26",5,#2L8GCJLPL,"UZI GANG",14,99,#2GLRVU2JQ,...,14,99.4,lose
"2025-07-16 15:02:52",5,#2L8GCJLPL,"UZI GANG",14,99.4,#2GLRGUQGC,"Love Clan.",14,94.4,win
"2025-07-13 11:36:55",5,#2L8GCJLPL,"UZI GANG",14,99.6,#2JYGUJ2PP,"legacy dukedom",12,85,win
"2024-10-20 08:53:24",5,#2L8GCJLPL,"UZI GANG",15,100,#2RR98LPL0,"War Zones",10,76.4,win
"2024-10-15 18:05:30",5,#2L8GCJLPL,"UZI GANG",15,100,#2RV92J2V8,"you love",13,92.8,win
"2024-10-13 10:54:17",5,#2L8GCJLPL,"UZI GANG",0,0,#2GJ0YVLPU,"بني حامد",13,93.2,lose
"2024-09-28 20:25:20",5,#2L8GCJLPL,"UZI GANG",15,100,#RYPY2CL8,"King's Palace",14,99.4,win
"2024-09-16 06:00:32",5,#2L8GCJLPL,"UZI GANG",14,97.8,#2Q9QCCJUQ,"FRIENDLY WARS",3,20,win
"2024-09-09 06:08:42",5,#2L8GCJLPL,"UZI GANG",15,100,#2RVQQ8LVC,"القائد ضرغام",14,97.2,win
"2024-09-02 09:15:35",5,#2L8GCJLPL,"UZI GANG",14,96.4,#2GJLU2LGG,poseidon,10,76.2,win
"2024-08-22 21:24:57",5,#2L8GCJLPL,"UZI GANG",14,98.4,#2QR2QR0J8,"los soldados :)",4,34.6,win
"2024-08-15 20:23:19",5,#2L8GCJLPL,"UZI GANG",15,100,#GG2QCY90,"ابطال سوريا",13,95.4,win
